"id_veicolo" "id_percorso" "id_palina" "aria.x" "moby.x" "meb.x" "banda.x" "pedana.x" "linea.x" "statotraffico.x" "tempo_attesa.y" "distanza_fermate.y" "a_capolinea.y" "tempo_attesa_secondi.y" "statotraffico.y" "traveltime" "ora" "giorno" "giornosettimana" "direction" "weather" "prevision_w"
"915" "3114" "56759" "70985" 0 0 0 "0" 0 "N20" "4" 34 16 1 2054 "4" 1962 "3" "17" "3" 1 "0" "0"
"918" "3114" "56759" "70985" 0 0 0 "0" 0 "N20" "4" 23 16 1 1352 "4" 1456 "1" "17" "3" 1 "0" "0"
"920" "3119" "55244" "70162" 0 0 0 "0" 0 "916" "4" 8 8 0 495 "3" 722 "0" "17" "3" 1 "0" "0"
"928" "3119" "55244" "70162" 0 0 0 "0" 0 "916" "4" 6 3 0 357 "3" 244 "20" "16" "2" 1 "0" "0"
"933" "3119" "55244" "70162" 0 0 0 "0" 0 "916" "4" 8 7 0 508 "3" 551 "22" "16" "2" 1 "0" "0"
"941" "3119" "55244" "70162" 0 0 0 "0" 0 "916" "3" 9 5 0 516 "3" 839 "17" "16" "2" 1 "0" "0"
"957" "3119" "55244" "70985" 0 0 0 "0" 0 "916" "3" 13 9 0 777 "3" 959 "17" "16" "2" 1 "0" "0"
"949" "3119" "55244" "70985" 0 0 0 "0" 0 "916" "4" 13 14 0 767 "3" 1149 "0" "17" "3" 1 "0" "0"
"965" "3119" "55244" "70985" 0 0 0 "0" 0 "916" "4" 13 11 0 767 "3" 886 "22" "16" "2" 1 "0" "0"
"972" "3123" "55797" "70788" 0 0 0 "0" 0 "30" "3" 4 3 0 245 "2" 327 "18" "16" "2" 0 "0" "0"
"975" "3125" "51834" "73587" 0 0 0 "0" 0 "N13" "4" 9 16 1 547 "4" 756 "3" "17" "3" 0 "0" "0"
"977" "3125" "51834" "73587" 0 0 0 "0" 0 "N13" "4" 4 9 0 259 "4" 267 "2" "17" "3" 0 "0" "0"
"984" "3125" "51834" "73587" 0 0 0 "0" 0 "N13" "4" 10 16 1 617 "4" 889 "0" "17" "3" 0 "0" "0"
"985" "3127" "53125" "70256" 0 0 0 "0" 0 "N7" "4" 4 5 0 255 "4" 259 "1" "17" "3" 1 "0" "0"
"990" "3127" "53125" "70256" 0 0 0 "0" 0 "N7" "4" 10 5 1 591 "4" 737 "0" "17" "3" 1 "0" "0"
"992" "3127" "53125" "70256" 0 0 0 "0" 0 "N7" "4" 12 5 1 735 "4" 867 "2" "17" "3" 1 "0" "0"
"995" "3127" "53424" "72778" 0 0 0 "0" 0 "92" "4" 14 6 1 842 "4" 838 "18" "16" "2" 0 "0" "0"
"997" "3127" "53424" "72778" 0 0 0 "0" 0 "92" "4" 9 6 1 546 "4" 654 "19" "16" "2" 0 "0" "0"
"1002" "3127" "53424" "72778" 0 0 0 "0" 0 "92" "4" 12 6 1 728 "4" 906 "16" "16" "2" 0 "0" "0"
"1005" "3127" "53424" "73587" 0 0 0 "0" 0 "92" "4" 18 13 1 1108 "4" 1102 "18" "16" "2" 0 "0" "0"
"1009" "3127" "53424" "73587" 0 0 0 "0" 0 "92" "4" 25 13 1 1491 "4" 1584 "16" "16" "2" 0 "0" "0"
"1013" "3127" "53424" "73587" 0 0 0 "0" 0 "92" "4" 19 13 1 1118 "4" 1042 "19" "16" "2" 0 "0" "0"
"1016" "3127" "53424" "75617" 0 0 0 "1" 0 "92" "4" 12 15 0 731 "4" 874 "15" "16" "2" 1 "0" "0"
"1030" "3127" "53424" "75617" 0 0 0 "1" 0 "92" "4" 31 26 1 1859 "4" 1987 "18" "16" "2" 1 "0" "0"
"1035" "3127" "53424" "75617" 0 0 0 "0" 0 "92" "3" 8 8 0 498 "4" 449 "17" "16" "2" 1 "0" "0"
"1050" "3127" "53424" "75617" 0 0 0 "0" 0 "92" "3" 5 5 0 285 "3" 307 "20" "16" "2" 1 "0" "0"
"1054" "3127" "53424" "80785" 0 0 0 "0" 0 "92" "3" 8 7 0 508 "3" 607 "20" "16" "2" 1 "0" "0"
"1062" "3127" "53424" "80785" 0 0 0 "1" 0 "92" "3" 20 21 0 1210 "4" 1372 "15" "16" "2" 1 "0" "0"
"1065" "3127" "53424" "80785" 0 0 0 "0" 0 "92" "3" 11 10 0 686 "3" 728 "17" "16" "2" 1 "0" "0"
"1073" "3127" "53424" "80785" 0 0 0 "0" 0 "92" "4" 40 29 1 2397 "4" 2497 "18" "16" "2" 1 "0" "0"
"1077" "3127" "54594" "81938" 0 0 0 "0" 0 "92" "4" 27 25 0 1623 "3" 1689 "19" "16" "2" 0 "0" "0"
"1081" "3127" "54594" "81938" 0 0 0 "0" 0 "92" "4" 24 24 0 1430 "3" 1395 "16" "16" "2" 0 "0" "0"
"1089" "3127" "54594" "81938" 0 0 0 "0" 0 "92" "4" 39 32 1 2369 "3" 2739 "18" "16" "2" 0 "0" "0"
"1092" "3132" "55588" "70788" 0 0 0 "1" 0 "83" "4" 7 5 0 409 "3" 327 "17" "16" "2" 0 "0" "0"
"1098" "3132" "55588" "70788" 0 0 0 "0" 0 "83" "3" 8 6 0 467 "3" 577 "20" "16" "2" 0 "0" "0"
"1109" "3132" "55588" "70788" 0 0 0 "0" 0 "83" "4" 39 37 0 2350 "4" 2748 "23" "16" "2" 0 "0" "0"
"1111" "3134" "51834" "73587" 0 0 0 "0" 0 "N13" "4" 11 16 1 651 "4" 592 "2" "17" "3" 0 "0" "0"
